title,url
BBEdit 16,https://www.barebones.com/products/bbedit/bbedit16.html
Project Hail Mary – Stellar Navigation Chart,https://valhovey.github.io/gaia-mary/
Flipper One – we need your help,https://blog.flipper.net/flipper-one-we-need-your-help/
Blog ran on Ubuntu 16.04 for 10 years. I migrated it to FreeBSD,https://crocidb.com/post/this-blog-ran-on-ubuntu-16-04-for-10-years-i-migrated-it-to-freebsd/
"Show HN: Freenet, a peer-to-peer platform for decentralized apps",https://freenet.org/
"Seattle Shield, an intelligence-sharing network operated by the Seattle police",https://prismreports.org/2026/05/20/seattle-shield-private-companies-surveillance/
We're testing new ad formats in Search and expanding our Direct Offers pilot,https://blog.google/products/ads-commerce/google-marketing-live-search-ads/
Was my $48K GPU server worth it?,https://rosmine.ai/2026/05/13/was-my-48k-gpu-worth-it/
Using Kagi Search with Low Vision,https://veroniiiica.com/using-kagi-search-with-low-vision/
Indexing a year of video locally on a 2021 MacBook with Gemma4-31B (50GB swap),https://blog.simbastack.com/indexed-a-year-of-video-locally/
Spotify will start reserving concert tickets for fans,https://www.hollywoodreporter.com/music/music-industry-news/spotify-will-start-reserving-concert-tickets-for-superfans-1236603106/
Waymo pauses Atlanta service as its robotaxis keep driving into floods,https://techcrunch.com/2026/05/21/waymo-pauses-atlanta-service-as-its-robotaxis-keep-driving-into-floods/
There’s a real chance you will not have the same job by the end of 2027,https://www.elenaverna.com/p/youll-lose-your-job-in-2027
ParadeDB (YC S23) Is Hiring Distributed Systems/Platform Engineers,item?id=48225852
Python 3.15: features that didn't make the headlines,https://blog.changs.co.uk/python-315-features-that-didnt-make-the-headlines.html
News outlets are limiting the Internet Archive’s access to their journalism,https://www.niemanlab.org/2026/05/more-than-340-local-news-outlets-are-limiting-the-internet-archives-access-to-their-journalism/
Where are all the UK red telephone kiosks?,https://www.thek6project.co.uk/
Lost Images from the 1945 Trinity Nuclear Test Restored,https://spectrum.ieee.org/trinity-nuclear-test
Thoughts on People and Blogs,https://afranca.com.br/thoughts-on-people-and-blogs/
Google's Antigravity bait and switch,https://www.0xsid.com/blog/antigravity-bait-n-switch
