comment,label
Stop making content,toxic
I learned a lot!,supportive
Worst video ever,toxic
So clear and helpful,supportive
This is trash,toxic
Much appreciated!,supportive
Cringe content,toxic
Awesome explanation,supportive
Can't believe people like this,toxic
Thanks for the content,supportive
Stop making content,toxic
Best tutorial I've seen,supportive
You sound horrible,toxic
Much appreciated!,supportive
You sound horrible,toxic
Much appreciated!,supportive
Clickbait title,toxic
I learned a lot!,supportive
Stop making content,toxic
Much appreciated!,supportive
You sound horrible,toxic
Keep up the great work,supportive
Cringe content,toxic
Much appreciated!,supportive
This is trash,toxic
I learned a lot!,supportive
Clickbait title,toxic
I learned a lot!,supportive
Cringe content,toxic
Awesome explanation,supportive
Clickbait title,toxic
Keep up the great work,supportive
Stop making content,toxic
I learned a lot!,supportive
You're so dumb,toxic
Best tutorial I've seen,supportive
You're such a loser,toxic
Thanks for the content,supportive
You sound horrible,toxic
I learned a lot!,supportive
Stop making content,toxic
Best tutorial I've seen,supportive
Waste of time,toxic
You're amazing!,supportive
Can't believe people like this,toxic
Keep up the great work,supportive
You sound horrible,toxic
So clear and helpful,supportive
Cringe content,toxic
So clear and helpful,supportive
You sound horrible,toxic
Keep up the great work,supportive
Can't believe people like this,toxic
So clear and helpful,supportive
You're so dumb,toxic
Much appreciated!,supportive
This is trash,toxic
Legend!,supportive
Waste of time,toxic
Much appreciated!,supportive
You're such a loser,toxic
Keep up the great work,supportive
You sound horrible,toxic
Thanks for the content,supportive
Clickbait title,toxic
You're amazing!,supportive
This is trash,toxic
Much appreciated!,supportive
Waste of time,toxic
Keep up the great work,supportive
You sound horrible,toxic
Much appreciated!,supportive
You sound horrible,toxic
You're amazing!,supportive
Clickbait title,toxic
Best tutorial I've seen,supportive
Cringe content,toxic
You're amazing!,supportive
You sound horrible,toxic
I learned a lot!,supportive
You're so dumb,toxic
So clear and helpful,supportive
You're so dumb,toxic
So clear and helpful,supportive
Cringe content,toxic
Legend!,supportive
Waste of time,toxic
Much appreciated!,supportive
Worst video ever,toxic
Keep up the great work,supportive
Stop making content,toxic
Awesome explanation,supportive
You're such a loser,toxic
Legend!,supportive
Cringe content,toxic
Awesome explanation,supportive
This is trash,toxic
Legend!,supportive
This is trash,toxic
Much appreciated!,supportive
